Raíz verbal quechua;Raíz verbal español;Persona;Número;Tiempo;Conjugación
tiyay;vivir;primera;singular;presente simple;ñuqa tiyani
tiyay;vivir;segunda;singular;presente simple;qam tiyanki
tiyay;vivir;tercera;singular;presente simple;pay tiyan
tiyay;vivir;cuarta;singular;presente simple;
tiyay;vivir;primera;plural;presente simple;ñuqanchik tiyanchik
tiyay;vivir;segunda;plural;presente simple;qamkuna tiyankichik
tiyay;vivir;tercera;plural;presente simple;paykuna tiyanku
tiyay;vivir;cuarta;plural;presente simple;ñuqayku tiyaniku
tiyay;vivir;primera;singular;presente progresivo;ñuqa tiyachkani
tiyay;vivir;segunda;singular;presente progresivo;qam tiyachkanki
tiyay;vivir;tercera;singular;presente progresivo;pay tiyachkan
tiyay;vivir;cuarta;singular;presente progresivo;
tiyay;vivir;primera;plural;presente progresivo;ñuqanchik tiyachkanchik
tiyay;vivir;segunda;plural;presente progresivo;qamkuna tiyachkankichik
tiyay;vivir;tercera;plural;presente progresivo;paykuna tiyachkanku
tiyay;vivir;cuarta;plural;presente progresivo;ñuqayku tiyachkaniku
tiyay;vivir;primera;singular;presente habitual;ñuqa tiyaq kani
tiyay;vivir;segunda;singular;presente habitual;qam tiyaq kanki
tiyay;vivir;tercera;singular;presente habitual;pay tiyaq mi
tiyay;vivir;cuarta;singular;presente habitual;
tiyay;vivir;primera;plural;presente habitual;ñuqanchik tiyaq kanchik
tiyay;vivir;segunda;plural;presente habitual;qamkuna tiyaq kankichik
tiyay;vivir;tercera;plural;presente habitual;paykuna tiyaq kanku
tiyay;vivir;cuarta;plural;presente habitual;ñuqayku tiyaq kaniku
tiyay;vivir;primera;singular;pasado experimentado simple;ñuqa tiyarqani
tiyay;vivir;segunda;singular;pasado experimentado simple;qam tiyarqanki
tiyay;vivir;tercera;singular;pasado experimentado simple;pay tiyarqan
tiyay;vivir;cuarta;singular;pasado experimentado simple;
tiyay;vivir;primera;plural;pasado experimentado simple;ñuqanchik tiyarqanchik
tiyay;vivir;segunda;plural;pasado experimentado simple;qamkuna tiyarqankichik
tiyay;vivir;tercera;plural;pasado experimentado simple;paykuna tiyarqanku
tiyay;vivir;cuarta;plural;pasado experimentado simple;ñuqayku tiyarqaniku
tiyay;vivir;primera;singular;pasado experimentado progresivo;ñuqa tiyachkarqani
tiyay;vivir;segunda;singular;pasado experimentado progresivo;qam tiyachkarqanki
tiyay;vivir;tercera;singular;pasado experimentado progresivo;pay tiyachkarqan
tiyay;vivir;cuarta;singular;pasado experimentado progresivo;
tiyay;vivir;primera;plural;pasado experimentado progresivo;ñuqanchik tiyachkarqanchik
tiyay;vivir;segunda;plural;pasado experimentado progresivo;qamkuna tiyachkarqankichik
tiyay;vivir;tercera;plural;pasado experimentado progresivo;paykuna tiyachkarqanku
tiyay;vivir;cuarta;plural;pasado experimentado progresivo;ñuqayku tiyachkarqaniku
tiyay;vivir;primera;singular;pasado experimentado habitual;ñuqa tiyaq karqani
tiyay;vivir;segunda;singular;pasado experimentado habitual;qam tiyaq karqanki
tiyay;vivir;tercera;singular;pasado experimentado habitual;pay tiyaq karqan
tiyay;vivir;cuarta;singular;pasado experimentado habitual;
tiyay;vivir;primera;plural;pasado experimentado habitual;ñuqanchik tiyaq karqanchik
tiyay;vivir;segunda;plural;pasado experimentado habitual;qamkuna tiyaq karqankichik
tiyay;vivir;tercera;plural;pasado experimentado habitual;paykuna tiyaq karqanku
tiyay;vivir;cuarta;plural;pasado experimentado habitual;ñuqayku tiyaq karqaniku
tiyay;vivir;primera;singular;pasado no experimentado simple;ñuqa tiyasqani
tiyay;vivir;segunda;singular;pasado no experimentado simple;qam tiyasqanki
tiyay;vivir;tercera;singular;pasado no experimentado simple;pay tiyasqan
tiyay;vivir;cuarta;singular;pasado no experimentado simple;
tiyay;vivir;primera;plural;pasado no experimentado simple;ñuqanchik tiyasqanchik
tiyay;vivir;segunda;plural;pasado no experimentado simple;qamkuna tiyasqankichik
tiyay;vivir;tercera;plural;pasado no experimentado simple;paykuna tiyasqank
tiyay;vivir;cuarta;plural;pasado no experimentado simple;ñuqayku tiyasqaniku
tiyay;vivir;primera;singular;pasado no exp. progresivo;ñuqa tiyachkasqani
tiyay;vivir;segunda;singular;pasado no exp. progresivo;qam tiyachkasqanki
tiyay;vivir;tercera;singular;pasado no exp. progresivo;pay tiyachkasqan
tiyay;vivir;cuarta;singular;pasado no exp. progresivo;
tiyay;vivir;primera;plural;pasado no exp. progresivo;ñuqanchik tiyachkasqanchik
tiyay;vivir;segunda;plural;pasado no exp. progresivo;qamkuna tiyachkasqankichik
tiyay;vivir;tercera;plural;pasado no exp. progresivo;paykuna tiyachkasqanku
tiyay;vivir;cuarta;plural;pasado no exp. progresivo;ñuqayku tiyachkasqaniku
tiyay;vivir;primera;singular;pasado no exp. habitual;ñuqa tiyaq kasqani
tiyay;vivir;segunda;singular;pasado no exp. habitual;qam tiyaq kasqanki
tiyay;vivir;tercera;singular;pasado no exp. habitual;pay tiyaq kasqan
tiyay;vivir;cuarta;singular;pasado no exp. habitual;
tiyay;vivir;primera;plural;pasado no exp. habitual;ñuqanchik tiyaq kasqanchik
tiyay;vivir;segunda;plural;pasado no exp. habitual;qamkuna tiyaq kasqankichik
tiyay;vivir;tercera;plural;pasado no exp. habitual;paykuna tiyaq kasqank
tiyay;vivir;cuarta;plural;pasado no exp. habitual;ñuqayku tiyaq kasqaniku
mikuy;comer;primera;singular;presente simple;ñuqa mikuni
mikuy;comer;segunda;singular;presente simple;qam mikunki
mikuy;comer;tercera;singular;presente simple;pay mikun
mikuy;comer;cuarta;singular;presente simple;
mikuy;comer;primera;plural;presente simple;ñuqanchik mikunchik
mikuy;comer;segunda;plural;presente simple;qamkuna mikunkichik
mikuy;comer;tercera;plural;presente simple;paykuna mikunku
mikuy;comer;cuarta;plural;presente simple;ñuqayku mikuniku
mikuy;comer;primera;singular;presente progresivo;ñuqa mikuchkani
mikuy;comer;segunda;singular;presente progresivo;qam mikuchkanki
mikuy;comer;tercera;singular;presente progresivo;pay mikuchkan
mikuy;comer;cuarta;singular;presente progresivo;
mikuy;comer;primera;plural;presente progresivo;ñuqanchik mikuchkanchik
mikuy;comer;segunda;plural;presente progresivo;qamkuna mikuchkankichik
mikuy;comer;tercera;plural;presente progresivo;paykuna mikuchkanku
mikuy;comer;cuarta;plural;presente progresivo;ñuqayku mikuchkaniku
mikuy;comer;primera;singular;presente habitual;ñuqa mikuq kani
mikuy;comer;segunda;singular;presente habitual;qam mikuq kanki
mikuy;comer;tercera;singular;presente habitual;pay mikuq mi
mikuy;comer;cuarta;singular;presente habitual;
mikuy;comer;primera;plural;presente habitual;ñuqanchik mikuq kanchik
mikuy;comer;segunda;plural;presente habitual;qamkuna mikuq kankichik
mikuy;comer;tercera;plural;presente habitual;paykuna mikuq kanku
mikuy;comer;cuarta;plural;presente habitual;ñuqayku mikuq kaniku
mikuy;comer;primera;singular;pasado experimentado simple;ñuqa mikurqani
mikuy;comer;segunda;singular;pasado experimentado simple;qam mikurqanki
mikuy;comer;tercera;singular;pasado experimentado simple;pay mikurqan
mikuy;comer;cuarta;singular;pasado experimentado simple;
mikuy;comer;primera;plural;pasado experimentado simple;ñuqanchik mikurqanchik
mikuy;comer;segunda;plural;pasado experimentado simple;qamkuna mikurqankichik
mikuy;comer;tercera;plural;pasado experimentado simple;paykuna mikurqanku
mikuy;comer;cuarta;plural;pasado experimentado simple;ñuqayku mikurqaniku
mikuy;comer;primera;singular;pasado experimentado progresivo;ñuqa mikuchkarqani
mikuy;comer;segunda;singular;pasado experimentado progresivo;qam mikuchkarqanki
mikuy;comer;tercera;singular;pasado experimentado progresivo;pay mikuchkarqan
mikuy;comer;cuarta;singular;pasado experimentado progresivo;
mikuy;comer;primera;plural;pasado experimentado progresivo;ñuqanchik mikuchkarqanchik
mikuy;comer;segunda;plural;pasado experimentado progresivo;qamkuna mikuchkarqankichik
mikuy;comer;tercera;plural;pasado experimentado progresivo;paykuna mikuchkarqanku
mikuy;comer;cuarta;plural;pasado experimentado progresivo;ñuqayku mikuchkarqaniku
mikuy;comer;primera;singular;pasado experimentado habitual;ñuqa mikuq karqani
mikuy;comer;segunda;singular;pasado experimentado habitual;qam mikuq karqanki
mikuy;comer;tercera;singular;pasado experimentado habitual;pay mikuq karqan
mikuy;comer;cuarta;singular;pasado experimentado habitual;
mikuy;comer;primera;plural;pasado experimentado habitual;ñuqanchik mikuq karqanchik
mikuy;comer;segunda;plural;pasado experimentado habitual;qamkuna mikuq karqankichik
mikuy;comer;tercera;plural;pasado experimentado habitual;paykuna mikuq karqanku
mikuy;comer;cuarta;plural;pasado experimentado habitual;ñuqayku mikuq karqaniku
mikuy;comer;primera;singular;pasado no experimentado simple;ñuqa mikusqani
mikuy;comer;segunda;singular;pasado no experimentado simple;qam mikusqanki
mikuy;comer;tercera;singular;pasado no experimentado simple;pay mikusqan
mikuy;comer;cuarta;singular;pasado no experimentado simple;
mikuy;comer;primera;plural;pasado no experimentado simple;ñuqanchik mikusqanchik
mikuy;comer;segunda;plural;pasado no experimentado simple;qamkuna mikusqankichik
mikuy;comer;tercera;plural;pasado no experimentado simple;paykuna mikusqank
mikuy;comer;cuarta;plural;pasado no experimentado simple;ñuqayku mikusqaniku
mikuy;comer;primera;singular;pasado no exp. progresivo;ñuqa mikuchkasqani
mikuy;comer;segunda;singular;pasado no exp. progresivo;qam mikuchkasqanki
mikuy;comer;tercera;singular;pasado no exp. progresivo;pay mikuchkasqan
mikuy;comer;cuarta;singular;pasado no exp. progresivo;
mikuy;comer;primera;plural;pasado no exp. progresivo;ñuqanchik mikuchkasqanchik
mikuy;comer;segunda;plural;pasado no exp. progresivo;qamkuna mikuchkasqankichik
mikuy;comer;tercera;plural;pasado no exp. progresivo;paykuna mikuchkasqanku
mikuy;comer;cuarta;plural;pasado no exp. progresivo;ñuqayku mikuchkasqaniku
mikuy;comer;primera;singular;pasado no exp. habitual;ñuqa mikuq kasqani
mikuy;comer;segunda;singular;pasado no exp. habitual;qam mikuq kasqanki
mikuy;comer;tercera;singular;pasado no exp. habitual;pay mikuq kasqan
